Study Accession,Sample Accession or Sample ID,GMWI,Inverse Simpson,Richness,Shannon,Evenness
PRJDB3601,SAMD00036192,-0.30055782132684494,7.543169170535367,70.0,2.6516102704082427,0.4614543173087805
PRJDB3601,SAMD00036193,1.4315073342807694,5.657674981779619,64.0,2.2946864206902284,0.3993395890468892
PRJDB3601,SAMD00036194,0.436549554488872,8.715906298240071,63.0,2.6043021676708995,0.4532213848543164
PRJDB3601,SAMD00036197,0.4112514795205708,9.903064214788968,63.0,2.758264029509792,0.4800150530789898
PRJDB3601,SAMD00036204,-0.34102514793922434,13.321832392930105,69.0,3.080560754229593,0.5361036935312438
PRJDB3601,SAMD00036208,-0.557387267389164,18.430741146590027,85.0,3.3015497140855152,0.5745619506669697
PRJDB3601,SAMD00036210,-0.47279262849820225,11.811260828499933,58.0,2.8780613545136093,0.5008631367668477
PRJDB3601,SAMD00036211,-0.528394077340643,10.207463955260694,65.0,2.7459898555684035,0.47787900366785946
PRJDB3601,SAMD00036215,-0.19071087799801173,3.7184451077344565,71.0,2.1836093905350342,0.38000908045330906
PRJDB3601,SAMD00036217,4.075520549243112,10.289930172167155,65.0,2.892952504020752,0.5034546130884051
PRJDB3601,SAMD00036296,-0.13287662619520837,9.835952458151581,53.0,2.755143444480805,0.47947198404270436
PRJDB3601,SAMD00036349,-1.9224330693382308,5.151060515157882,46.0,2.1184831017367625,0.3686752854866626
PRJDB3601,SAMD00036354,-2.4162345329616937,6.9823245462804175,51.0,2.268301405128185,0.3947478587012794
PRJDB3601,SAMD00036359,-2.6480911552533377,7.4484307751104755,45.0,2.4379841808080105,0.42427740543905756
PRJDB3601,SAMD00036364,-0.08939692473045109,7.157293030846716,74.0,2.4008970485350662,0.4178232075899456
PRJDB3601,SAMD00036372,0.4399103637293675,7.010620864196025,60.0,2.5853155170947963,0.4499171768500884
PRJDB3601,SAMD00036377,-2.9863664257093365,6.408906874837839,76.0,2.51668192439077,0.43797301295121754
PRJDB3601,SAMD00036379,1.2745992998844469,6.607671323326924,53.0,2.460586547714055,0.4282108491681715
PRJDB3601,SAMD00036381,-0.2546751108778083,15.242975956642352,69.0,3.052090399319852,0.5311490558399398
PRJDB3601,SAMD00036386,-4.357846121201424,5.844621857121079,70.0,2.5728879283281554,0.4477544289703928
PRJDB3601,SAMD00036388,-2.9191111027858145,4.371114413182389,68.0,2.2534316095474023,0.39216009855989375
PRJDB3601,SAMD00036393,1.1805182291757004,8.172750520045568,69.0,2.600867296791135,0.4526236212936022
PRJDB3601,SAMD00036398,0.26387500778189865,10.353672467421404,57.0,2.8361521754240173,0.49356976796315033
PRJDB3601,SAMD00036400,-4.771126653589237,11.63084692908552,50.0,2.842412873456842,0.49465930444928286
PRJDB3601,SAMD00036402,3.8517834724741036,12.10836201832285,60.0,2.932919780437473,0.5104100365378436
PRJDB3601,SAMD00036404,-3.713107245774343,3.850865445385207,58.0,2.2171501077269467,0.38584610293227917
PRJDB3601,SAMD00036406,-4.104593793539133,8.025250604105212,48.0,2.455135130944989,0.4272621502467618
PRJDB3601,SAMD00036430,-3.4608686095848555,11.100500272865458,55.0,2.7340896689770213,0.4758080385110803
PRJDB3601,SAMD00036432,-1.9730561218729563,7.675816428823253,76.0,2.5804234518647715,0.44906582073409196
PRJDB3601,SAMD00036434,-0.7136353063258679,10.644878273064487,61.0,2.728799221857171,0.4748873528088134
PRJDB3601,SAMD00036441,1.250557664298555,8.076987348899904,61.0,2.6358101796676596,0.45870465980161224
