,p__Actinobacteria,p__Ascomycota,p__Bacteroidetes,p__Candidatus_Saccharibacteria,p__Euryarchaeota,p__Firmicutes,p__Fusobacteria,p__Proteobacteria,p__Synergistetes,p__Verrucomicrobia,c__Actinobacteria,c__Bacilli,c__Bacteroidia,c__Betaproteobacteria,c__Candidatus_Saccharibacteria_noname,c__Clostridia,c__Deltaproteobacteria,c__Epsilonproteobacteria,c__Erysipelotrichia,c__Fusobacteriia,c__Gammaproteobacteria,c__Methanobacteria,c__Negativicutes,c__Saccharomycetes,c__Synergistia,c__Verrucomicrobiae,o__Actinomycetales,o__Aeromonadales,o__Bacillales,o__Bacteroidales,o__Bifidobacteriales,o__Burkholderiales,o__Campylobacterales,o__Candidatus_Saccharibacteria_noname,o__Clostridiales,o__Coriobacteriales,o__Desulfovibrionales,o__Enterobacteriales,o__Erysipelotrichales,o__Fusobacteriales,o__Lactobacillales,o__Methanobacteriales,o__Pasteurellales,o__Saccharomycetales,o__Selenomonadales,o__Synergistales,o__Verrucomicrobiales,f__Acidaminococcaceae,f__Actinomycetaceae,f__Aerococcaceae,f__Bacillales_noname,f__Bacteroidaceae,f__Bacteroidales_noname,f__Bifidobacteriaceae,f__Burkholderiales_noname,f__Campylobacteraceae,f__Candidatus_Saccharibacteria_noname,f__Carnobacteriaceae,f__Clostridiaceae,f__Clostridiales_Family_XIII_Incertae_Sedis,f__Clostridiales_Family_XI_Incertae_Sedis,f__Clostridiales_noname,f__Coriobacteriaceae,f__Corynebacteriaceae,f__Desulfovibrionaceae,f__Enterobacteriaceae,f__Enterococcaceae,f__Erysipelotrichaceae,f__Eubacteriaceae,f__Fusobacteriaceae,f__Lachnospiraceae,f__Lactobacillaceae,f__Leuconostocaceae,f__Methanobacteriaceae,f__Micrococcaceae,f__Oscillospiraceae,f__Oxalobacteraceae,f__Pasteurellaceae,f__Peptostreptococcaceae,f__Porphyromonadaceae,f__Prevotellaceae,f__Propionibacteriaceae,f__Rikenellaceae,f__Ruminococcaceae,f__Saccharomycetaceae,f__Staphylococcaceae,f__Streptococcaceae,f__Succinivibrionaceae,f__Sutterellaceae,f__Synergistaceae,f__Veillonellaceae,f__Verrucomicrobiaceae
All,0.06301076292267403,1.597440423398313e-05,0.4401978394860224,1.881874207122895e-05,0.008455682725423791,0.4336302016676179,0.00276009889537604,0.03570575723381012,0.000215076273290887,0.015028685347391555,0.06301076292267403,0.018205068714856686,0.4401978394860224,0.005974206714743317,1.881874207122895e-05,0.3749410855702543,0.0009219422621488142,1.2930711488260804e-05,0.011759934940724205,0.00276009889537604,0.028796677545429736,0.008455682725423791,0.028724112441782697,1.597440423398313e-05,0.000215076273290887,0.015028685347391555,0.0002266970745821685,3.9960853137683597e-05,0.00013759826101870094,0.4401978394860224,0.050850641150435694,0.005974206714743317,1.2930711488260804e-05,1.881874207122895e-05,0.3749410855702543,0.011933424697656158,0.0009219422621488142,0.026197658155722225,0.011759934940724205,0.00276009889537604,0.018067470453837983,0.008455682725423791,0.0025590585365698284,1.597440423398313e-05,0.028724112441782697,0.000215076273290887,0.015028685347391555,0.0068748535922105005,9.296940235972727e-05,5.929180676482052e-06,0.00012100423790688249,0.2654715984056823,0.004000548122548736,0.050850641150435694,0.0006061251236788649,1.2930711488260804e-05,1.881874207122895e-05,3.64546056486264e-05,0.014451662640296417,4.459756229605989e-06,0.00014365257198169386,0.0015696841842339734,0.011933424697656158,1.3543730839633106e-06,0.0009219422621488142,0.026197658155722225,0.0007082769753660938,0.011759934940724205,0.10473792634649814,0.00276009889537604,0.12034226872079963,0.00490883552942896,0.00019991581000795716,0.008455682725423791,0.0001072748971249485,0.00045626367505172995,0.0001701367762654172,0.0025590585365698284,0.0018370546351790592,0.040411272621935876,0.08156103616028848,2.509840201352941e-05,0.048753384175566995,0.13139811303998403,1.597440423398313e-05,1.6594023111818463e-05,0.012208058352709864,3.9960853137683597e-05,0.005197944814799035,0.000215076273290887,0.021849258849572194,0.015028685347391555
Healthy,0.07634782382298831,1.9265630137980938e-05,0.4477114386086853,3.5887646695713507e-06,0.00934267452884168,0.4274464668201483,0.0008474408284894683,0.02429945640901592,2.577880742193159e-05,0.01344271151784676,0.07634782382298831,0.011553832467222172,0.4477114386086853,0.007409897624484366,3.5887646695713507e-06,0.3781316307486017,0.0008008257500399299,1.6818635544661983e-05,0.012202032519930982,0.0008474408284894683,0.016071914398946962,0.00934267452884168,0.025558971084393586,1.9265630137980938e-05,2.577880742193159e-05,0.01344271151784676,0.0001958407219716748,3.799287132171337e-05,2.5644560591865867e-05,0.4477114386086853,0.06264680039503627,0.007409897624484366,1.6818635544661983e-05,3.5887646695713507e-06,0.3781316307486017,0.013505182705980362,0.0008008257500399299,0.014570019090406663,0.012202032519930982,0.0008474408284894683,0.011528187906630308,0.00934267452884168,0.0014639024372185827,1.9265630137980938e-05,0.025558971084393586,2.577880742193159e-05,0.01344271151784676,0.007101316793714593,8.527704125272182e-05,7.035059477123819e-07,2.210696699346358e-05,0.24855935188878342,0.005547647449901948,0.06264680039503627,0.0005610244051924425,1.6818635544661983e-05,3.5887646695713507e-06,1.6759291310820406e-05,0.009927665267763225,1.2692259114015977e-06,7.673630268336857e-05,0.0016173764515722512,0.013505182705980362,3.573148039215686e-07,0.0008008257500399299,0.014570019090406663,0.00033798453579157424,0.012202032519930982,0.11260827336350755,0.0008474408284894683,0.11627103229012326,0.0033927681571423313,0.00018279695266158196,0.00934267452884168,9.651237419752976e-05,0.0003892326422512699,0.00019459814446622805,0.0014639024372185827,0.0015922003279012248,0.04332439463439718,0.0948329396824546,1.369399171750167e-05,0.055447104953148085,0.1356478448768881,1.9265630137980938e-05,3.537593598402287e-06,0.007597175463776287,3.799287132171337e-05,0.006654275074825695,2.577880742193159e-05,0.018457654290678988,0.01344271151784676
Nonhealthy,0.046844272729247294,1.1984951707746345e-05,0.43109024618328756,3.727972700263961e-05,0.007380517484837144,0.44112580279874947,0.005078523330325698,0.049531880680765784,0.0004445327966197176,0.016951120174225346,0.046844272729247294,0.02626735068051929,0.43109024618328756,0.004233937011650512,3.727972700263961e-05,0.37107367297290894,0.0010687533864216434,8.217972557218178e-06,0.011224047294097674,0.005078523330325698,0.04422097231013641,0.007380517484837144,0.03256073185122356,1.1984951707746345e-05,0.0004445327966197176,0.016951120174225346,0.0002640995372095011,4.2346338138203876e-05,0.00027330270246918683,0.43109024618328756,0.036551951643556305,0.004233937011650512,8.217972557218178e-06,3.727972700263961e-05,0.37107367297290894,0.010028221548481486,0.0010687533864216434,0.04029207628330984,0.011224047294097674,0.005078523330325698,0.025994047978050102,0.007380517484837144,0.003886549688688371,1.1984951707746345e-05,0.03256073185122356,0.0004445327966197176,0.016951120174225346,0.006600346700950699,0.00010229368162411677,1.2263471258802334e-05,0.00024088235590668692,0.285971742291043,0.0021252349414172464,0.036551951643556305,0.000660793864308974,8.217972557218178e-06,3.727972700263961e-05,6.032823931337892e-05,0.019935416497671603,8.327150814260431e-06,0.00022476498643925885,0.0015118741031381908,0.010028221548481486,2.562955171654754e-06,0.0010687533864216434,0.04029207628330984,0.001157126173688377,0.011224047294097674,0.09519790183732388,0.005078523330325698,0.1252772093590403,0.0067465333917869595,0.00022066639677376587,0.007380517484837144,0.00012032066655369467,0.0005375151998459495,0.00014048598047975124,0.003886549688688371,0.0021338542664480534,0.03688013792901404,0.06547352634512763,3.8922233860034864e-05,0.04063960467668569,0.12624680957218745,1.1984951707746345e-05,3.242034656249987e-05,0.01779713030522882,4.2346338138203876e-05,0.0034326571668617874,0.0004445327966197176,0.025960385150272856,0.016951120174225346
