GMHI,Richness,Evenness,Shannon,Inverse Simpson
-1.8654,108,0.5306,3.0488,11.9821
0.4449,100,0.5388,3.0958,12.0762
-0.8516,92,0.4668,2.6825,7.8462
-1.852,61,0.3969,2.2808,5.1458
0.3602,68,0.5004,2.8754,11.5136
-0.1577,117,0.5436,3.1234,12.1319
-4.7866,80,0.531,3.0515,14.7689
-1.8426,107,0.5827,3.3484,15.5554
-3.4576,69,0.4762,2.7365,9.5337
-0.4712,89,0.5301,3.0462,12.1204
-4.4227,99,0.5017,2.883,8.6516
-2.1877,55,0.4708,2.7051,10.1075
-4.7064,88,0.5312,3.0526,10.2934
-3.754,78,0.4923,2.8291,7.9482
-1.1615,103,0.5687,3.2678,16.9916
0.4359,69,0.3349,1.9243,3.1009
-2.1839,62,0.4268,2.4522,6.9851
-3.1953,100,0.5532,3.1787,13.4701
-2.5078,53,0.4068,2.3375,5.2834
-4.2007,67,0.4543,2.6106,8.9586
-3.8518,56,0.3777,2.1701,5.4983
-1.2338,102,0.5162,2.9663,12.7546
-3.864,66,0.4744,2.7258,9.374
1.0961,93,0.5814,3.3411,18.7841
-1.1556,73,0.4495,2.583,7.242
-1.3753,85,0.546,3.1374,13.9812
-1.5998,90,0.4971,2.8567,9.3277
-3.3163,72,0.4651,2.6724,7.7162
-3.5716,94,0.5243,3.0129,11.4483
-1.2814,82,0.5292,3.0411,14.1751
-2.7915,67,0.3786,2.1757,3.7167
-1.1629,74,0.4576,2.6296,8.4312
-3.8898,79,0.4528,2.6017,8.3052
-4.0107,68,0.3516,2.0203,4.0062
0.2394,104,0.5826,3.3475,17.0307
-1.9979,67,0.402,2.3097,6.6041
-0.7812,78,0.4268,2.4527,6.4994
-0.2784,61,0.4692,2.6959,8.1659
-0.4497,108,0.5443,3.1279,12.4472
-0.9663,104,0.6082,3.4946,22.6848
-1.4008,96,0.5251,3.0173,13.5929
-0.6942,107,0.5678,3.2627,15.8602
0.8935,94,0.5701,3.276,17.8434
-1.9293,74,0.4362,2.5067,8.0108
-1.3342,115,0.5691,3.2704,13.7947
-4.7415,137,0.4832,2.7766,9.1416
-2.885,79,0.3791,2.1782,4.2042
-1.7645,169,0.4987,2.8658,8.4301
-2.8356,66,0.3786,2.1757,4.554
-3.6017,99,0.3074,1.7663,4.0452
0.3341,120,0.4963,2.8517,6.1607
-1.519,130,0.5929,3.4067,15.3468
